,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
85,2573,2573,a694,b2738,different days,the charlatans uk,May 26 2017,the songs and poems of molly drake,the unthanks,May 26 2017,0
32,1086,1086,a2079,b1435,cloud nine,kygo,May 13 2016,cloud nine,kygo,May 13 2016,1
84,2524,2524,a65,b3147,(it was) because i was in love [deluxe reissue],sharon van etten,Nov 17 2017,if all i was was black,mavis staples,Nov 17 2017,0
14,661,661,a1606,b1720,tidal wave,taking back sunday,Sep 16 2016,tidal wave,taking back sunday,Sep 16 2016,1
89,2683,2683,a761,b320,"sing it high, sing it low: tumbleweed records 1971-1973",various artists,May 12 2017,i'll be home for christmas,various artists,Nov 24 2014,0
19,717,717,a1659,b1703,signs of light,the head and the heart,Sep 9 2016,atmosphères,"tigran hamasyan, arve henriksen, eivind aarset, and jan bang",Sep 9 2016,0
29,1064,1064,a2045,b3178,day of the dead,various artists,May 20 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
49,1657,1657,a2589,b2046,blackstar,david bowie,Jan 8 2016,no plan,david bowie,Jan 8 2017,0
97,2909,2909,a910,b2461,close ties,rodney crowell,Mar 31 2017,close ties,rodney crowell,Mar 31 2017,1
98,2931,2931,a936,b2399,damage and joy,the jesus and mary chain,Mar 24 2017,souvenir,drew holcomb and the neighbors,Mar 24 2017,0
69,2147,2147,a353,b677,hitchhiker,neil young,Sep 8 2017,the monsanto years,neil young,Jun 16 2015,0
20,718,718,a1662,b1675,birds in the trap sing mcknight,travis scott,Sep 2 2016,birds in the trap sing mcknight,travis scott,Sep 2 2016,1
94,2874,2874,a899,b2520,wyw,wear your wounds,Apr 7 2017,wyw,wear your wounds,Apr 7 2017,1
72,2232,2232,a433,b688,a fever dream,everything everything,Aug 18 2017,get to heaven,everything everything,Jun 22 2015,0
77,2338,2338,a531,b1832,jungle rules,french montana,Jul 14 2017,mc4,french montana,Oct 14 2016,0
25,949,949,a1926,b1507,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
37,1183,1183,a2146,b2108,close to the noise floor: formative uk electronica 1975-1984 [box set],various artists,Apr 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
81,2382,2382,a560,b321,c88 [box set],various artists,Jul 7 2017,shady xv,various artists,Nov 24 2014,0
46,1508,1508,a2436,b1212,phase,jack garratt,Feb 19 2016,phase,jack garratt,Feb 19 2016,1
39,1231,1231,a22,b1890,pressure,jeezy,Dec 15 2017,trap or die 3,jeezy,Oct 28 2016,0
65,2078,2078,a2981,b831,the night creeper,uncle acid and the deadbeats,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,1
58,1948,1948,a2866,b2108,trevor jackson presents: science fiction dancehall classics,various artists,Oct 2 2015,"she rocks, vol. 1",various artists,Jan 20 2017,0
12,590,590,a152,b3113,beach house iii,ty dolla $ign,Oct 27 2017,beach house 3,ty dolla sign,Oct 27 2017,1
88,2660,2660,a750,b583,ii,l.a. takedown,May 12 2017,ii,metz,May 4 2015,0
70,2191,2191,a40,b2613,versatile,van morrison,Dec 1 2017,the authorized bang collection,van morrison,Apr 28 2017,0
87,2634,2634,a726,b2703,the king & i,faith evans and the notorious b.i.g.,May 19 2017,loopyness,lee burridge and lost desert,May 19 2017,0
36,1158,1158,a2133,b1388,waltzed in from the rumbling,plants and animals,Apr 29 2016,balter/saunier,"ensemble dal niente, marcos balter, and deerhoof",Apr 29 2016,0
21,722,722,a1664,b1668,false readings on,eluvium,Sep 2 2016,false readings on,eluvium,Sep 2 2016,1
83,2494,2494,a630,b2355,pop makossa: invasive dance beat of cameroon,various artists,Jun 16 2017,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
9,323,323,a1280,b2892,the hamilton mixtape,various artists,Dec 2 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
96,2881,2881,a905,b1752,resistance radio: the man in the high castle album,various artists,Apr 7 2017,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
67,2123,2123,a317,b3024,brand new abyss,the blow,Sep 22 2017,wonderful wonderful,the killers,Sep 22 2017,0
64,2076,2076,a2980,b831,"yours, dreamily",the arcs,Sep 4 2015,no closer to heaven,the wonder years,Sep 4 2015,1
47,1581,1581,a2526,b1142,pillars of ash,black tusk,Jan 29 2016,pillars of ash,black tusk,Jan 29 2016,1
44,1475,1475,a2412,b1228,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,nemesis: the best of & reworked,blutengel,Feb 26 2016,0
